iter	Passed	Remaining
685	4454	2038
686	4464	2034
687	4473	2028
688	4482	2023
689	4497	2020
690	4507	2015
691	4519	2011
692	4532	2007
693	4547	2005
694	4556	1999
695	4565	1994
696	4591	1995
697	4604	1992
698	4618	1988
699	4631	1984
700	4641	1979
701	4653	1975
702	4664	1970
703	4673	1964
704	4683	1959
705	4710	1961
706	4721	1956
707	4729	1950
708	4746	1947
709	4756	1942
710	4773	1940
711	4792	1938
712	4803	1933
713	4820	1930
714	4833	1926
715	4844	1921
716	4855	1916
717	4862	1909
718	4876	1905
719	4883	1899
720	4892	1893
721	4902	1887
722	4912	1882
723	4921	1876
724	4929	1869
725	4939	1864
726	4951	1859
727	4969	1856
728	4982	1852
729	4995	1847
730	5008	1843
731	5017	1837
732	5022	1829
733	5028	1822
734	5037	1816
735	5049	1811
736	5065	1807
737	5076	1802
738	5085	1795
739	5092	1789
740	5099	1782
741	5105	1775
742	5117	1770
743	5125	1763
744	5134	1757
745	5147	1752
746	5156	1746
747	5167	1740
748	5177	1735
749	5184	1728
750	5193	1721
751	5200	1715
752	5212	1709
753	5227	1705
754	5235	1698
755	5245	1692
756	5253	1686
757	5261	1679
758	5267	1672
759	5279	1667
760	5287	1660
761	5294	1653
762	5300	1646
763	5310	1640
764	5320	1634
765	5328	1627
766	5335	1620
767	5341	1613
768	5350	1607
769	5366	1603
770	5376	1596
771	5388	1591
772	5409	1588
773	5432	1586
774	5451	1582
775	5461	1576
776	5471	1570
777	5483	1564
778	5494	1558
779	5507	1553
780	5528	1550
781	5572	1553
782	5617	1556
783	5641	1554
784	5667	1552
785	5679	1546
786	5686	1539
787	5695	1532
788	5708	1526
789	5718	1520
790	5729	1513
791	5740	1507
792	5748	1500
793	5757	1493
794	5764	1486
795	5771	1479
796	5780	1472
797	5786	1464
798	5793	1457
799	5800	1450
800	5808	1443
801	5816	1435
802	5821	1428
803	5827	1420
804	5835	1413
805	5842	1406
806	5847	1398
807	5852	1390
808	5858	1383
809	5864	1375
810	5869	1367
811	5874	1360
812	5881	1352
813	5889	1345
814	5896	1338
815	5903	1331
816	5908	1323
817	5914	1315
818	5919	1308
819	5925	1300
820	5930	1292
821	5936	1285
822	5944	1278
823	5949	1270
824	5954	1263
825	5960	1255
826	5968	1248
827	5976	1241
828	5982	1234
829	5988	1226
830	5995	1219
831	6001	1211
832	6006	1204
833	6010	1196
834	6020	1189
835	6027	1182
836	6032	1174
837	6038	1167
838	6045	1160
839	6054	1153
840	6062	1146
841	6067	1138
842	6073	1131
843	6081	1124
844	6086	1116
845	6092	1108
846	6099	1101
847	6105	1094
848	6111	1086
849	6117	1079
850	6122	1072
851	6127	1064
852	6138	1057
853	6144	1050
854	6151	1043
855	6156	1035
856	6163	1028
857	6168	1020
858	6173	1013
859	6182	1006
860	6189	999
861	6195	991
862	6201	984
863	6206	976
864	6214	969
865	6225	963
866	6233	956
867	6239	948
868	6245	941
869	6249	933
870	6254	926
871	6265	919
872	6271	912
873	6279	905
874	6289	898
875	6300	891
876	6309	884
877	6315	877
878	6320	870
879	6326	862
880	6332	855
881	6338	847
882	6346	840
883	6354	833
884	6362	826
885	6368	819
886	6378	812
887	6384	805
888	6392	798
889	6398	790
890	6404	783
891	6409	776
892	6416	768
893	6426	761
894	6434	754
895	6441	747
896	6447	740
897	6460	733
898	6468	726
899	6474	719
900	6482	712
901	6488	705
902	6494	697
903	6499	690
904	6511	683
905	6518	676
906	6525	669
907	6537	662
908	6547	655
909	6556	648
910	6564	641
911	6571	634
912	6577	626
913	6587	619
914	6595	612
915	6601	605
916	6607	598
917	6613	590
918	6625	583
919	6633	576
920	6640	569
921	6647	562
922	6653	555
923	6658	547
924	6668	540
925	6675	533
926	6683	526
927	6689	519
928	6698	511
929	6705	504
930	6710	497
931	6717	490
932	6724	482
933	6731	475
934	6736	468
935	6745	461
936	6755	454
937	6762	446
938	6770	439
939	6778	432
940	6789	425
941	6805	419
942	6820	412
943	6842	405
944	6869	399
945	6887	393
946	6911	386
947	6922	379
948	6930	372
949	6941	365
950	6954	358
951	6966	351
952	6976	344
953	6987	336
954	7002	329
955	7029	323
956	7047	316
957	7071	310
958	7101	303
959	7125	296
960	7144	289
961	7153	282
962	7161	275
963	7167	267
964	7177	260
965	7211	253
966	7231	246
967	7241	239
968	7249	231
969	7254	224
970	7259	216
971	7272	209
972	7281	202
973	7287	194
974	7294	187
975	7301	179
976	7307	172
977	7311	164
978	7319	157
979	7325	149
980	7333	142
981	7339	134
982	7346	127
983	7356	119
984	7370	112
985	7380	104
986	7389	97
987	7397	89
988	7416	82
989	7426	75
990	7440	67
991	7451	60
992	7463	52
993	7470	45
994	7477	37
995	7492	30
996	7500	22
997	7505	15
998	7513	7
999	7525	0
