iter	Logloss
350	0.2053731295
351	0.2051960068
352	0.2048259148
353	0.2045206067
354	0.2045087644
355	0.2040681581
356	0.2039296997
357	0.2038374559
358	0.2034006439
359	0.2032230524
360	0.2028131346
361	0.2023838241
362	0.2020772276
363	0.2019647668
364	0.2017553395
365	0.2014716728
366	0.2012389389
367	0.2007908001
368	0.200275462
369	0.2002003528
370	0.1997767524
371	0.1993456046
372	0.1989646275
373	0.1986636992
374	0.198249272
375	0.1980721898
376	0.1976616582
377	0.1972850822
378	0.1971622299
379	0.1968291304
380	0.1967938656
381	0.196368497
382	0.1961281362
383	0.1957221854
384	0.1952734062
385	0.1952510447
386	0.1951948333
387	0.1948659231
388	0.194827689
389	0.1945304077
390	0.1942420243
391	0.1938076469
392	0.1935128145
393	0.1932040071
394	0.1927756619
395	0.1926376168
396	0.1922036967
397	0.1920746564
398	0.1916868714
399	0.1916439938
400	0.1913289883
401	0.1910153828
402	0.1907183628
403	0.1904806
404	0.1901955102
405	0.1901795766
406	0.190143892
407	0.1897998872
408	0.1895066814
409	0.1894437012
410	0.1890051192
411	0.1886441914
412	0.1883003367
413	0.1877976367
414	0.1875301785
415	0.187157594
416	0.1868869755
417	0.1865230953
418	0.1862620969
419	0.1862388257
420	0.1859279116
421	0.1859151847
422	0.1856205964
423	0.1853590256
424	0.1852237204
425	0.1850016347
426	0.1848442266
427	0.1848265484
428	0.1844420086
429	0.1840887282
430	0.183701149
431	0.1836897609
432	0.1834616504
433	0.1832790175
434	0.1828939727
435	0.1826092436
436	0.1823649658
437	0.1821066049
438	0.1818513878
439	0.1816331095
440	0.1811622159
441	0.1805418739
442	0.1801919504
443	0.1798595887
444	0.1795804507
445	0.1792908718
446	0.1790810041
447	0.1790417255
448	0.178919683
449	0.1788012366
450	0.1786784915
451	0.1783950257
452	0.1781193298
453	0.1778838511
454	0.1778376687
455	0.1778297477
456	0.1776508561
457	0.177497518
458	0.1773496618
459	0.177199407
460	0.176999113
461	0.1767431842
462	0.1764820893
463	0.176170883
464	0.1761490174
465	0.1759542525
466	0.1757997622
467	0.1752625017
468	0.1748934195
469	0.1745643733
470	0.1745230744
471	0.174264944
472	0.1739804854
473	0.1737900387
474	0.1737285741
475	0.1734661961
476	0.1732553188
477	0.1732380826
478	0.1731068398
479	0.1728280667
480	0.1726321414
481	0.1723702554
482	0.1722493947
483	0.1720193483
484	0.1717680754
485	0.1714676452
486	0.1713272836
487	0.1712451388
488	0.1710585161
489	0.1710435739
490	0.1710385959
491	0.1708435833
492	0.1707090076
493	0.1704130158
494	0.1702350069
495	0.1697250676
496	0.1696645476
497	0.1694852884
498	0.1689625365
499	0.1686846523
500	0.1686756657
501	0.1684995753
502	0.1682693236
503	0.1679452429
504	0.1676674284
505	0.1673090027
506	0.1670970411
507	0.1670217814
508	0.1667747037
509	0.1665706442
510	0.1664048206
511	0.1662997599
512	0.1661117658
513	0.1658109836
514	0.1655672599
515	0.1653264816
516	0.1651169118
517	0.165051361
518	0.1648878247
519	0.164654931
520	0.1645400655
521	0.1643909639
522	0.1641606151
523	0.1640383116
524	0.1637263598
525	0.1636617054
526	0.1634736102
527	0.1632586303
528	0.1632544804
529	0.1630746521
530	0.1628364881
531	0.1627299738
532	0.1625543294
533	0.1623816452
534	0.1620501901
535	0.1617816842
536	0.161508523
537	0.1614468429
538	0.1613337463
539	0.1612258802
540	0.1610120532
541	0.1608075136
542	0.1607022559
543	0.1605006345
544	0.1603611141
545	0.1601373722
546	0.1598193638
547	0.1595649546
548	0.1592703245
549	0.1591964334
550	0.1589166855
551	0.1587362358
552	0.1585256148
553	0.1584156925
554	0.1581490503
555	0.1580948297
556	0.1580042975
557	0.157544185
558	0.1572255603
559	0.1572155787
560	0.1570573093
561	0.1569209139
562	0.156916752
563	0.156710392
564	0.1566120098
565	0.1563331408
566	0.1560053616
567	0.1558370391
568	0.1557743546
569	0.1555470623
570	0.155455894
571	0.1552061404
572	0.1550493629
573	0.1549081738
574	0.1548726144
575	0.1548692126
576	0.1546416928
577	0.1544464514
578	0.1542610527
579	0.154035277
580	0.1539608019
581	0.1537096112
582	0.1537023491
583	0.1534279159
584	0.153127325
585	0.1528650013
586	0.1528612883
587	0.1526729901
588	0.1523829333
589	0.1522854138
590	0.152105655
591	0.1517142998
592	0.1516348382
593	0.1513443894
594	0.1512045561
595	0.1510848551
596	0.1508821014
597	0.1506121745
598	0.1503719121
599	0.1499545185
600	0.1498530552
601	0.1495796179
602	0.149374131
603	0.1491083153
604	0.1490214767
605	0.1489088417
606	0.1486861825
607	0.148602606
608	0.1484522102
609	0.1481159571
610	0.1478442434
611	0.1478159959
612	0.1475155772
613	0.147353746
614	0.1471690026
615	0.1470263721
616	0.1466235907
617	0.1465200501
618	0.146315676
619	0.1460975214
620	0.1459514522
621	0.1458335821
622	0.1456690787
623	0.1455723846
624	0.1454702602
625	0.145345948
626	0.1452547586
627	0.1450217971
628	0.1449989889
629	0.144865902
630	0.1447094874
631	0.1444943296
632	0.1444488074
633	0.1444073026
634	0.1443929265
635	0.1441564299
636	0.1439211404
637	0.1437519885
638	0.1436498198
639	0.1436388907
640	0.1434157104
641	0.1432795917
642	0.1429239426
643	0.1428285373
644	0.142715149
645	0.1426516073
646	0.1424329656
647	0.1422561614
648	0.1421421795
649	0.1421392963
650	0.1419421416
651	0.1419389912
652	0.1418506434
653	0.141734471
654	0.1415750132
655	0.1412228262
656	0.1411898736
657	0.1410564777
658	0.140851071
659	0.1406630264
660	0.1405427605
661	0.1404763048
662	0.1403885937
663	0.1402905506
664	0.1400658393
665	0.1400628535
666	0.1400086554
667	0.1398551657
668	0.1397729088
669	0.1397701457
670	0.1395913234
671	0.1395882575
672	0.1393867609
673	0.1392250081
674	0.1390575761
675	0.138841254
676	0.1386514831
677	0.1385773039
678	0.138474969
679	0.1383959946
680	0.1381257519
681	0.1378667189
682	0.1376796117
683	0.1376376669
684	0.1376301967
685	0.1375480043
686	0.1375457954
687	0.1373849108
688	0.1371724524
689	0.1371317725
690	0.1370589953
691	0.1368700113
692	0.1366968806
693	0.1366081049
694	0.1366043922
695	0.136482548
696	0.1362349362
697	0.1362209844
698	0.1360412513
699	0.1358863527
